term,definition,strand
Digital Media,"Forms of electronic communication such as websites, videos, and animations used to convey information or entertainment",1
Career Pathway,"A sequence of courses and experiences that prepare students for specific careers in digital media",1
Workflow,"The sequence of processes through which a digital media project passes from initiation to completion",1
Project Brief,"A document outlining the goals, scope, and deliverables of a digital media project",1
Copyright,"A legal right that protects original works of authorship from unauthorized use",2
Fair Use,"A legal doctrine allowing limited use of copyrighted material without permission under specific conditions",2
Public Domain,"Creative works that are not protected by copyright and can be used freely",2
Piracy,"The unauthorized use or reproduction of copyrighted material",2
Creative Commons,"A licensing system that allows creators to share their work with specific usage permissions",2
Ethics,"Moral principles guiding the responsible use of digital media",2
Design Principle,"Fundamental guidelines like balance, contrast, and alignment that enhance visual composition",3
Balance,"The distribution of visual weight in a design to create stability",3
Contrast,"The use of differing elements like color or size to create visual interest",3
Emphasis,"The focal point in a design that draws the viewer’s attention",3
Alignment,"The placement of elements in a design to create order and cohesion",3
Repetition,"The reuse of design elements to create consistency and unity",3
Proximity,"Grouping related elements together to organize information in a design",3
Color Theory,"The study of how colors interact and their impact on design",3
Typography,"The art and technique of arranging text to make it readable and visually appealing",3
Serif Font,"A typeface with small lines or extensions at the end of strokes",3
Sans Serif Font,"A typeface without small lines at the end of strokes",3
White Space,"The empty areas in a design that improve readability and balance",3
Raster Graphics,"Images composed of pixels, suitable for detailed photographs",3
Vector Graphics,"Images created using mathematical paths, scalable without quality loss",3
Resolution,"The number of pixels in an image, affecting clarity and file size",3
Safety Procedure,"Guidelines to ensure safe use of equipment and software in digital media production",4
Ergonomics,"The design of workspaces to maximize comfort and efficiency",4
Soft Skills,"Non-technical skills like communication and teamwork essential for professional success",4
Professionalism,"Conducting oneself with responsibility, integrity, and respect in a work environment",4
Time Management,"The ability to plan and control how time is spent to complete tasks efficiently",4
Audio Editing,"The process of manipulating sound files to enhance quality or create effects",5
Waveform,"A visual representation of an audio signal’s amplitude over time",5
Bit Rate,"The amount of data processed per second in digital audio or video, affecting quality",5
Codec,"A technology used to compress and decompress digital media files",5
Video Editing,"The process of assembling and modifying video footage to create a final product",5
Frame Rate,"The number of frames displayed per second in a video, affecting smoothness",5
Key Frame,"A frame in animation or video that defines the starting or ending point of a transition",5
Motion Graphics,"Animated graphic elements used to enhance visual storytelling",5
3D Modeling,"The process of creating a three-dimensional digital representation of an object",5
Rendering,"The process of generating a final image or video from a digital model or scene",5
Compositing,"Combining multiple visual elements into a single image or video",5
Green Screen,"A technique using a solid color background to replace it with other visuals in post-production",5
Animation,"The process of creating moving images through a sequence of static visuals",5
Storyboard,"A visual plan of shots or scenes to guide the production process",5
Project Management,"The process of planning, organizing, and overseeing a digital media project",6
Deliverable,"A tangible outcome or product submitted as part of a project",6
Milestone,"A significant point or event in the timeline of a project",6
Scope Creep,"The uncontrolled expansion of a project’s goals or requirements",6
Collaboration,"Working with others to achieve a common goal in a digital media project",6
Portfolio,"A collection of work showcasing skills and accomplishments in digital media",6
Career-Ready,"Having the skills and knowledge required to succeed in a professional digital media role",6
