term,definition
File Explorer Navigation,"Using a graphical interface to browse files and folders, such as File Explorer in Windows or Finder in macOS."
Command Line Interface,Interacting with the operating system using text-based commands in a terminal or command prompt.
Directory Navigation,"Using commands like `cd`, `ls` (Linux/macOS), or `dir` (Windows) to move through file system directories."
Keyboard Shortcuts,Using key combinations like Ctrl+C (copy) or Alt+Tab (switch windows) to perform tasks quickly.
Task Manager,"Monitoring and managing running processes, performance, and services in Windows."
Activity Monitor,Viewing and controlling system processes and resource usage in macOS.
File Search,Using search tools like Spotlight (macOS) or Windows Search to locate files and applications.
Path Navigation,"Specifying file or folder locations using absolute or relative paths (e.g., `/home/user` or `../docs`)."
Terminal Commands,"Executing basic commands like `mkdir`, `rm`, `cp`, or `mv` to manage files in Linux/macOS."
Environment Variables,Setting or modifying variables like PATH to configure system behavior.
File Permissions,Managing access rights for files and directories using commands like `chmod` or `chown` in Linux/macOS.
Taskbar Customization,Pinning apps or rearranging icons on the taskbar (Windows) or Dock (macOS) for quick access.
Virtual Desktops,Creating and switching between multiple desktops to organize workspaces in Windows or macOS.
Shell Scripting,"Writing scripts (e.g., Bash, PowerShell) to automate repetitive tasks."
System Updates,Checking and installing operating system updates via GUI or commands like `apt` or `yum`.
Package Management,"Installing or updating software using package managers like `apt` (Debian), `yum` (Red Hat), or `brew` (macOS)."
Process Management,"Using commands like `ps`, `top`, or `kill` to monitor or terminate processes in Linux/macOS."
Disk Management,Managing disk partitions and storage using tools like Disk Management (Windows) or Disk Utility (macOS).
File Compression,"Compressing and decompressing files using tools like `zip`, `tar`, or GUI utilities."
Registry Editing,Modifying Windows Registry to tweak system settings or behavior.
Group Policy Editor,Configuring system policies in Windows for user and computer settings.
Command Aliases,"Creating shortcuts for frequently used commands in Linux/macOS (e.g., `alias ll='ls -l'`)."
File System Mounting,Mounting drives or network shares using commands like `mount` or GUI tools.
Remote Desktop,Accessing another computer remotely using tools like RDP (Windows) or VNC.
SSH Access,Securely connecting to a remote system using Secure Shell (SSH) for command-line access.
Cron Jobs,Scheduling automated tasks in Linux/macOS using `cron` or `schtasks` in Windows.
PowerShell Scripting,Writing scripts in PowerShell to automate Windows system tasks.
Symbolic Links,Creating shortcuts to files or directories using `ln -s` (Linux/macOS) or `mklink` (Windows).
File Explorer Navigation,"Using a graphical interface to browse files and folders, such as File Explorer in Windows or Finder in macOS."
Command Line Interface,Interacting with the operating system using text-based commands in a terminal or command prompt.
Directory Navigation,"Using commands like `cd`, `ls` (Linux/macOS), or `dir` (Windows) to move through file system directories."
Keyboard Shortcuts,Using key combinations like Ctrl+C (copy) or Alt+Tab (switch windows) to perform tasks quickly.
Task Manager,"Monitoring and managing running processes, performance, and services in Windows."
Activity Monitor,Viewing and controlling system processes and resource usage in macOS.
File Search,Using search tools like Spotlight (macOS) or Windows Search to locate files and applications.
Path Navigation,"Specifying file or folder locations using absolute or relative paths (e.g., `/home/user` or `../docs`)."
Terminal Commands,"Executing basic commands like `mkdir`, `rm`, `cp`, or `mv` to manage files in Linux/macOS."
Environment Variables,Setting or modifying variables like PATH to configure system behavior.
File Permissions,Managing access rights for files and directories using commands like `chmod` or `chown` in Linux/macOS.
Taskbar Customization,Pinning apps or rearranging icons on the taskbar (Windows) or Dock (macOS) for quick access.
Virtual Desktops,Creating and switching between multiple desktops to organize workspaces in Windows or macOS.
Shell Scripting,"Writing scripts (e.g., Bash, PowerShell) to automate repetitive tasks."
System Updates,Checking and installing operating system updates via GUI or commands like `apt` or `yum`.
Package Management,"Installing or updating software using package managers like `apt` (Debian), `yum` (Red Hat), or `brew` (macOS)."
Process Management,"Using commands like `ps`, `top`, or `kill` to monitor or terminate processes in Linux/macOS."
Disk Management,Managing disk partitions and storage using tools like Disk Management (Windows) or Disk Utility (macOS).
File Compression,"Compressing and decompressing files using tools like `zip`, `tar`, or GUI utilities."
Registry Editing,Modifying Windows Registry to tweak system settings or behavior.
Group Policy Editor,Configuring system policies in Windows for user and computer settings.
Command Aliases,"Creating shortcuts for frequently used commands in Linux/macOS (e.g., `alias ll='ls -l'`)."
File System Mounting,Mounting drives or network shares using commands like `mount` or GUI tools.
Remote Desktop,Accessing another computer remotely using tools like RDP (Windows) or VNC.
SSH Access,Securely connecting to a remote system using Secure Shell (SSH) for command-line access.
Cron Jobs,Scheduling automated tasks in Linux/macOS using `cron` or `schtasks` in Windows.
PowerShell Scripting,Writing scripts in PowerShell to automate Windows system tasks.
Symbolic Links,Creating shortcuts to files or directories using `ln -s` (Linux/macOS) or `mklink` (Windows).
File Recovery,Using tools like `undelete` or third-party software to recover deleted files.
System Restore,Reverting the system to a previous state using System Restore (Windows) or Time Machine (macOS).
Environment Configuration,"Customizing shell environments (e.g., `.bashrc`, `.zshrc`) for user preferences."
Task Scheduler,Automating tasks in Windows using Task Scheduler for recurring operations.
Network Configuration,Setting up network interfaces using GUI tools or commands like `ifconfig` or `ip`.
Firewall Management,"Configuring firewall rules using `ufw` (Linux), Windows Defender Firewall, or macOS Application Firewall."
Disk Formatting,"Formatting drives to file systems like NTFS, FAT32, or ext4 using GUI or command-line tools."
User Account Management,"Creating, modifying, or deleting user accounts via GUI or commands like `useradd` or `passwd`."
Services Management,"Starting, stopping, or configuring system services using `systemctl` (Linux) or Services (Windows)."
Log File Analysis,Reviewing system logs using `journalctl` (Linux) or Event Viewer (Windows) for troubleshooting.
Hotkeys Customization,Creating custom keyboard shortcuts for specific actions or applications.
File Sharing,"Setting up file sharing over a network using SMB, NFS, or AFP protocols."
Backup Automation,Automating backups using tools like `rsync` (Linux/macOS) or Windows Backup.
Performance Monitoring,Using tools like `htop` (Linux) or Resource Monitor (Windows) to track system performance.
Boot Loader Configuration,Modifying boot settings using GRUB (Linux) or Windows Boot Manager.
