Term,Definition
affections,n. Emotions or feelings
feeling,n. Emotional or sensory experience
sensibility,n. Capacity to feel emotions
insensibility,n. Lack of emotional sensitivity
excitation,n. Arousal of emotions
excitability,n. Tendency to be easily aroused
inexcitability,n. Resistance to emotional arousal
pleasure,n. Enjoyable emotion or sensation
pain,n. Unpleasant emotion or sensation
pleasurableness,n. Quality of being pleasant
painfulness,n. Quality of being painful
content,n. Satisfaction or contentment
discontent,n. Dissatisfaction or unease
regret,n. Sorrow for past actions
relief,n. Alleviation of pain or distress
aggravation,n. Worsening of distress
cheerfulness,n. Happy or optimistic mood
dejection,n. Sadness or low spirits
rejoicing,n. Expression of joy
lamentation,n. Expression of sorrow
amusement,n. Enjoyable diversion
weariness,n. Fatigue or boredom
wit,n. Clever or humorous expression
dullness,n. Lack of wit or excitement
humorist,n. Person skilled in humor
beauty,n. Aesthetic pleasing quality
ugliness,n. Lack of aesthetic appeal
ornament,n. Decorative enhancement
blemish,n. Imperfection or flaw
simplicity,n. Plain or unadorned quality
taste,n. Sense of aesthetic judgment
vulgarity,n. Lack of taste or refinement
fashion,n. Current style or trend
ridiculousness,n. Quality of being laughable
fop,n. Person overly concerned with fashion
affectation,n. Artificial or exaggerated behavior
ridicule,n. Mockery or derision
laughingstock,n. Object of ridicule
hope,n. Expectation of positive outcome
hopelessness,n. Lack of hope
fear,n. Anxiety about danger
courage,n. Bravery in facing danger
cowardice,n. Lack of bravery
rashness,n. Reckless boldness
caution,n. Careful avoidance of risk
desire,n. Strong wish or craving
indifference,n. Lack of interest or concern
dislike,n. Feeling of aversion
fastidiousness,n. Excessive choosiness
satiety,n. Feeling of being overly full
wonder,n. Awe or amazement
expectance,n. State of expecting
prodigy,n. Extraordinary phenomenon
repute,n. Good reputation
disrepute,n. Bad reputation
nobility,n. High moral or social rank
commonality,n. Ordinary or common status
title,n. Name or rank of honor
pride,n. Self-respect or arrogance
humility,n. Modest self-view
vanity,n. Excessive pride in appearance
modesty,n. Humble or reserved demeanor
ostentation,n. Showy display
celebration,n. Festive commemoration
boasting,n. Excessive self-praise
