Term,Definition,Category
existence,State of being or reality,Abstract Relations
inexistence,State of not existing,Abstract Relations
substantiality,Having real, tangible essence,Abstract Relations
unsubstantiality,Lacking substance or reality,Abstract Relations
intrinsicality,Inherent or essential quality,Abstract Relations
extrinsicality,External or non-essential quality,Abstract Relations
state,Condition or mode of being,Abstract Relations
circumstance,External condition affecting a situation,Abstract Relations
relation,Connection or association between things,Abstract Relations
irrelation,Lack of connection or relevance,Abstract Relations
consanguinity,Kinship or familial relation,Abstract Relations
correlation,Mutual or reciprocal relation,Abstract Relations
identity,Sameness or exact equivalence,Abstract Relations
contrariety,Opposition or contradiction,Abstract Relations
difference,Distinction or dissimilarity,Abstract Relations
uniformity,Consistency or sameness,Abstract Relations
similarity,Likeness or resemblance,Abstract Relations
dissimilarity,Lack of likeness or difference,Abstract Relations
imitation,Copying or mimicking,Abstract Relations
nonimitation,Originality, not copying,Abstract Relations
copy,A reproduction or duplicate,Abstract Relations
prototype,Original model or archetype,Abstract Relations
agreement,Harmony or conformity,Abstract Relations
disagreement,Conflict or lack of harmony,Abstract Relations
quantity,Amount or measurable extent,Abstract Relations
degree,Level or extent of a quality,Abstract Relations
equality,State of being equal,Abstract Relations
inequality,State of being unequal,Abstract Relations
mean,Average or middle value,Abstract Relations
compensation,Balancing or offsetting,Abstract Relations
greatness,Large size or importance,Abstract Relations
smallness,Small size or minor importance,Abstract Relations
superiority,Being better or higher,Abstract Relations
inferiority,Being lesser or lower,Abstract Relations
increase,Growth or addition,Abstract Relations
nonincrease, decrease,Lack of growth or reduction,Abstract Relations
addition,Act of adding or joining,Abstract Relations
nonaddition, subtraction,Act of removing or deducting,Abstract Relations
adjunct,Something added but not essential,Abstract Relations
remainder,What is left after subtraction,Abstract Relations
mixture,Combination of different elements,Abstract Relations
simpleness,State of being unmixed or simple,Abstract Relations
junction,Act of joining or uniting,Abstract Relations
disjunction,Act of separating or disconnecting,Abstract Relations
connection,Link or association,Abstract Relations
coherence,Logical or consistent connection,Abstract Relations
incoherence,Lack of logical connection,Abstract Relations
combination,Joining of multiple elements,Abstract Relations
decomposition,Breaking down into parts,Abstract Relations
whole,Complete entity or total,Abstract Relations
part,Portion or segment of a whole,Abstract Relations
completeness,State of being whole or finished,Abstract Relations
incompleteness,State of being partial or unfinished,Abstract Relations
composition,Structure or makeup of a whole,Abstract Relations
exclusion,Act of leaving out or omitting,Abstract Relations
component,Part of a larger whole,Abstract Relations
extraneousness,Being external or irrelevant,Abstract Relations
order,Arrangement or sequence,Abstract Relations
disorder,Lack of arrangement or chaos,Abstract Relations
arrangement,Organized placement or structure,Abstract Relations
derangement,Disruption of order or arrangement,Abstract Relations
precedence,Priority or going before,Abstract Relations
sequence,Order of succession,Abstract Relations
precursor,Something that comes before,Abstract Relations
sequel,Something that follows,Abstract Relations
beginning,Start or origin,Abstract Relations
end,Conclusion or termination,Abstract Relations
middle,Central point or portion,Abstract Relations
continuity,Unbroken sequence or flow,Abstract Relations
discontinuity,Break or interruption in sequence,Abstract Relations
term,Fixed point or limit,Abstract Relations
assemblage,Collection or gathering,Abstract Relations
nonassemblage, dispersion,Scattering or spreading apart,Abstract Relations
focus,Central point of convergence,Abstract Relations
class,Group with shared characteristics,Abstract Relations
inclusion,Act of encompassing or containing,Abstract Relations
exclusion,Act of leaving out or barring,Abstract Relations
generality,Broad or universal quality,Abstract Relations
speciality,Specific or distinct quality,Abstract Relations
normality,State of being typical or standard,Abstract Relations
multiformity,Having many forms or variations,Abstract Relations
conformity,Compliance with standards or norms,Abstract Relations
unconformity,Lack of compliance with norms,Abstract Relations
number,Numerical quantity or count,Abstract Relations
numeration,Act of counting or numbering,Abstract Relations
list,Ordered catalog or sequence,Abstract Relations
unity,Oneness or singularity,Abstract Relations
accompaniment,Something that goes along with,Abstract Relations
duality,State of being two or paired,Abstract Relations
duplication,Act of doubling or copying,Abstract Relations
bisection,Division into two parts,Abstract Relations
triality,State of being three,Abstract Relations
triplication,Act of tripling or making threefold,Abstract Relations
trisection,Division into three parts,Abstract Relations
four,The number four,Abstract Relations
quadruplication,Act of multiplying by four,Abstract Relations
quadrisection,Division into four parts,Abstract Relations
five, &c,The number five and beyond,Abstract Relations
quinquesection, &c,Division into five or more parts,Abstract Relations
plurality,More than one; many,Abstract Relations
zero,Absence of quantity or null,Abstract Relations
multitude,Large number or crowd,Abstract Relations
fewness,Small number or scarcity,Abstract Relations
repetition,Act of repeating or recurrence,Abstract Relations
infinity,Boundless or endless quantity,Abstract Relations
time,Duration or sequence of events,Abstract Relations
neverness,Absence of occurrence in time,Abstract Relations
period,Specific duration or interval,Abstract Relations
course,Progression or flow of time,Abstract Relations
diuturnity,Long duration or endurance,Abstract Relations
transientness,Brief duration or fleetingness,Abstract Relations
perpetuity,Endless or indefinite duration,Abstract Relations
instantaneity,Momentary or immediate occurrence,Abstract Relations
chronometry,Measurement of time,Abstract Relations
anachronism,Error in time placement,Abstract Relations
priority,State of coming before in time,Abstract Relations
posteriority,State of coming after in time,Abstract Relations
the present time,Current moment or now,Abstract Relations
different time,Another time, past or future,Abstract Relations
synchronism,Occurrence at the same time,Abstract Relations
futurity,The future or time to come,Abstract Relations
the past,Time that has gone by,Abstract Relations
newness,State of being recent or novel,Abstract Relations
oldness,State of being old or aged,Abstract Relations
morning,Early part of the day,Abstract Relations
evening,Later part of the day,Abstract Relations
youth,Early stage of life,Abstract Relations
age,Advanced stage of life,Abstract Relations
infant,Very young person or thing,Abstract Relations
veteran,Experienced or aged person,Abstract Relations
adolescence,Transitional stage to adulthood,Abstract Relations
earliness,Occurring early in time,Abstract Relations
lateness,Occurring late in time,Abstract Relations
occasion,Suitable time or opportunity,Abstract Relations
untimeliness,Inappropriate timing,Abstract Relations
frequency,Rate of occurrence or repetition,Abstract Relations
infrequency,Rarity of occurrence,Abstract Relations
regularity of recurrence,Consistent repetition pattern,Abstract Relations
irregularity of recurrence,Inconsistent repetition pattern,Abstract Relations
change,Alteration or transformation,Abstract Relations
permanence,Unchanging state or stability,Abstract Relations
cessation,Coming to an end,Abstract Relations
continuance in action,Ongoing activity or persistence,Abstract Relations
conversion,Change from one form to another,Abstract Relations
reversion,Return to a previous state,Abstract Relations
revolution,Radical or complete change,Abstract Relations
substitution,Replacement of one thing with another,Abstract Relations
interchange,Mutual exchange or swap,Abstract Relations
changeableness,Tendency to change or vary,Abstract Relations
stability,Resistance to change,Abstract Relations
eventuality,Possible future event or outcome,Abstract Relations
destiny,Predetermined course of events,Abstract Relations
cause,Source or reason for an effect,Abstract Relations
effect,Result or outcome of a cause,Abstract Relations
attribution,Assigning a cause or characteristic,Abstract Relations
chance,Random or unpredictable event,Abstract Relations
power,Ability to act or influence,Abstract Relations
impotence,Lack of power or effectiveness,Abstract Relations
