term,definition,category
Who is your AP Psychology teacher?,Chris Krueger,
He was head of the first psychology department at Harvard,William James,
Which has numerical variables?,Nominal,
Covers the axon to make transmission faster.,Myelin,
A moving picture of the cortex,EEG,
This term refers to the concept that you are testing what you say you're testing,Validity ,
Does not prove causation but shows the relationship between two variables,Correlation,
Another word for the neuron being in a state of rest (ready to fire),Polarized ,
The cell body,Soma,
Process of recycling neurotransmitters,Reuptake ,
The voluntary control over our body,Somatic ,
Contains the medulla and cerebellum,Hindbrain,
Color and pitch measure sensory ...,Quality,
The process of sense data getting translated into neural brain activity,Transduction,
Uncontrollable bouts of sleep,Narcolepsy,
A neuro-cognitive disease present in early childhood.  Victims have trouble processing emotions in others,Autism,
Theory that our brains seek optimal levels of stimuli,Arousal theory ,
The bare minimum stimulation needed to trigger a neuron/sensation,Absolute Threshold,
The act of making similar or incorporating a idea/object into an existing schema,Assimilation ,
The part of the brain that controls cognitive functions like perception and learning,The cortex,
Understanding the volume of water doesn't change when that water changes containers,Conservation of mass,
The ?dictionary? of psychological disorders,DSM,
"When your mind is ""stuck"" on a particular way of solving a problem",Functional fixation,
The perceptual cue of making objects/people with certain like characteristics into a single thing,Similarity,
The part of psychology that studies psychology in the workforce,Industrial-Organizational psychology ,
Studying one group over an extended period of time,Longitudinal study ,
A radioactive dye is injected in the bloodstream to see where most brain activity is,PET scan,
The best/average example of a schema,Prototype,
The process in which you recover/locate information in your memory,Retrieval,
Has 3 stages plus REM (Rapid Eye Movement),Sleep,
The working memory model is a closer look at ,Short-term memory,
The process of changing our current schema to incorporate new information,Accommodation,
A structure made of DNA molecules containing genes,Chromosomes,
Section of sensory memory that holds and recalls auditory stimuli,Echoic Memory,
What is a schedule that reinforces a response only after a specific number of responses?,fixed ratio,
When a desire for harmony in a decision-making group overrides good decision-making,Groupthink,
What is it called when people share a common identity?,Ingroup,
Drug that causes powerful visual hallucinations,LSD,
Branch of medicine dealing with psychological disorders practiced by physicians who provide medical treatments and therapy,psychiatry ,
The disruptive effect of new learning on the recall of old information,Retroactive Interference,
When regular use of a drug requires the user to take larger doses to experience its full effects,Tolerance,
What is the sex chromosome found in both men and women?,X,
Studies on ____________ in the 1960s found subjects deprived of love and affect were horribly maladjusted later,monkeys,
Father of psychoanalysis argued personality is formed through three structures of the human mind,Sigmund Freud,
What is a computed measure of how much scores vary around the mean score?,Standard Deviation,
"Bundled axons that form neural ?cables? connecting the CNS with muscles, glands, and sense organs?",Nerves,
"The ability to learn from experience, solve problems, and use knowledge to adapt to new situations",Intelligence,
What is the perceptual tendency to organize things near each other into one thing,Grouping,
What is the stage of cognitive development which people begin to think logically abstract concepts?,Formal Operational Stage,
What is the ability to produce novel and valuable ideas?,Creativity,
What part of the peripheral nervous system controls the glands and the muscles of the internal organs?,Autonomic Nervous System,
Which metric do you estimate the likelihood of events based on how mentally available they are?,Availability Heuristic,
What is the idea where sounds and words can still be recalled within 3 or 4 seconds.,Short-term memory,
What is a stage of development where specific development such as language is developed the fastest?,Critical Period,
"Part of the eye where the most photoreceptors lie, also known as the center of your field of vision.",Fovea,
When you believe everyone agrees with you,false consensus effect ,
The most common measure of intelligence that is standardized to tester?s age.,Intelligence Quotient,
"The most commonly abused drug in America, a depressant",alcohol,
What is the disruptive effect of prior learning on the recall of new information?,Proactive Interference,
"The disorder in which a person loses contact with reality, experiencing irrational ideas and distorted perceptions",Schizophrenia,
What is the process of recalculating test scores every few years to get new percentile ranks ,Normalization,
The pioneer of observational learning. He also did the Bobo doll experiment,Albert Bandura,
Creating a negative response to a harmful stimulus to discourage behavior.,Aversive Conditioning,
Grouping and organising information into familiar units for better recall ,Chunking,
A study that takes a snapshot to specifically compares people of different ages.,Cross-Sectional Study,
The way in which a problem is presented.,Framing,
Decreased response to a stimulus due to repeated exposure.,Habituation,
The amount of energy in a wave.,Intensity,
"Two or more weeks of low mood and pleasure, often with additional negative effects.",Depression ,
The basic building block of the brain,Neurons,
"An irrational, extreme fear of something specific.",Phobia,
A form of operant conditioning that decreases the likelihood of a certain behavior.,Punishment,
Greyscale retinal receptors that work well in darker conditions.,Rods,
An American revision of a French intelligence test.,Stanford-Binet,
Perception that draws from experience and expectation.,Top-Down Processing,
The uncomfortable feeling when your thoughts don't match behaviors or thoughts don't match other thoughts,cognitive dissonance,
"According to Freud, this is the conscious part of the mind",The ego,
"Jenny thought she heard a voice call her name, but she did not. Jenny had a(n)",hallucination,
This neurotransmitter is most associated with movement,acetylcholine,
"A state of persistent, abnormally elevated arousal often including excessive optimism",Mania,
messenger molecules between neurons,neurotransmitters,
"The aperture of the eye through which light passes through, size controlled by the iris",the pupil,
"How you act because of your job, your gender, your age is your",role,
When researchers say they have found it very likely that their results did NOT occur by chance,Statistically Significant,
"An approach to the study of human personality, OCEAN is one example",Trait theory,
The smallest independent sound unit in a language,phoneme,
When you believe things happen because of you (and not because of fate),internal locus of control,
Two children produced by the same pregnancy resulting from different fertilized eggs,fraternal twins,
The recall of facts and known procedures.  It declines more slowly as you age,Crystalized intelligence,
A natural internal process that regulates sleep is:,Circadian Rhythm,
A test designed to assess what a person has learned,Achievement Test,
The stage of speech where infants spontaneously utter various sounds (4 months old),Babbling Stage,
"A type of learning where two stimuli are linked together (an ""association"")",Classical conditioning,
A series of X-Ray photographs taken from different angles to reveal brain damage,CT (computed tomography) scan,
A difficulty in perceiving another person?s point of view,Egocentrism,
Method of exploring the unconscious where the patient relaxes and says whatever comes to mind,Free association,
Psychedelic drugs that distort perceptions and evoke sensory images (e.g. LSD),Hallucinogens,
A tone?s experienced highness or lowness. Dependent on frequency,Pitch,
Placing experiment participants to experimental groups and control groups with the flip of a coin,Random assignment,
Infants automatically turn their face towards the stimulus and suck when their cheek is touched,Rooting reflex,
