Term,Definition
A generalized belief about a group of people,Stereotype
Theory that subjective feeling is derived from both cognitive appraisal and physiological response,Two-factor
"The single-most important reason experiments are the ""best"" tool.  Because they _____ the indepenent variable",Control
"What neurotransmitter generally responsible for regulating sleep, mood, and appetite?",Serotonin
"In the OCEAN system, which supertrait is associated with curiousity and imagination",Openness
This feature of emotion includes heart rate and blood pressure,physiological response
The two most famous (infamous) experiments (because of ethics) were the prison experiment and the,Milgram shock test
Asking someone to do small favors to be granted bigger favors later is called:,Foot in the door effect
"In the tratis v situations debate, 99% of psychologists think __________ are more important",Situations
"This takes a high-resolution, static picture of the brain",MRI
The part of the brain that controls homeostasis is:,Hypothalamus
The part of the brain that has memories of Mr. Krueger's class is (not the memory control center),Every part
Schizohrenia and mania are both charcterized by,delusions
Schizohrenia and PTSD are both charcterized by,hallucinations
"Schizophrenia shares similar behaviors with mania and PTSD, making diagnosis difficult.  This is the",overlapping symptom problem
Another word for depolarization or firing,Action potential
A person that earns a PhD and treats people with disorders,Clinical psychologist
The humanist approach claims that we all seek to realize our best selves,Self-actualization
The memory control center,Hippocampus
A theory of hearing that our perception of sound depends on where the vibrations are along the basilar membrane.,Place theory
"A person with a narrow, expectional mental ability.  He/she might be average or even below average otherwise",Savant
The brain processes color data by directly comparing the firing rates of the three cones,Trichromatic
"If I teach a dog there is no escape, but then provide him an opportunity to escape, he won't.",Learned Helplessness
Largely nonconscious mechanisms that reduces anxiety (hint: Freud),Defense mechanisms
Theory of how sounds are heard based on sound wavelengths,Frequency matching theory
Behavior that is driven internally by your own satisfaction.,Intrinsic motivation
"Probability distribution where mean, median and mode are the same number",Normal curve
"Statistical measure of variance, the difference between the highest and lowest numbers",Range
"One of the four steps in the memory process: acquisition __________ encoding, retrieval",Storage
"Snail shaped organ of the inner-ear, where transduction occurs",cochlea
Brain waves associated with deep sleep,delta waves
The feature of emotion associated with facial expressions,overt action
Which lobe is most associated with personality?,frontal
What is the colored muscle in the eye that opens and closes to allow light in?,Iris
From 1900-1940 used to calculate IQ by dividing ___________ by chronological age,Mental Age
What is the idea that things still exist without being able to sense them?,Object Permanence
What acts as a control for an experiment so the act of taking medication is not the cause?,Placebo
The defense mechanism where you justify your bad behavior by overexplaining,Rationalization
Results of a correlation study are most often displayed graphically in a,scatterplot
