term,definition,strand
A study technique emphasizing deep encoding (e.g. mind maps and mnemonics),elaborative rehearsal,1
When a reward is given for doing a behavior for a random amount of time (e.g. waiting for the bus),variable interval schedule,1
Solomon Asch experimented on __________ using lines and a group of confederates all saying the same wrong answer,Conformity,1
The in ability to recall old information.  Usually associated with dementia.,Retrograde amnesia,1
The building blocks of chromosomes.  (Among other things) They code for proteins,genes,1
"The third stage in Piaget’s theory of cognitive development, the stage where logical thought is developed.",concrete operational stage,1
The part of the neuron that receives signals,dendrite,1
A study where a hypothesis is tested under controlled conditions with a clear independent & dependent variable,experiment,1
Twins that are genetically uniform and develop from a single fertilized egg which later splits,identical twins,1
The most frequently occurring score in a distribution,mode,1
All sensory information (except smell) is routed through this limbic structure,Thalamus,
"An unjustified, negative attitude toward a group outside of yours.",prejudice,
Where a person retrieves information that they have learned before e.g. a fill in the blank test,recall,
"The first stage in Piaget’s cognitive development theory, where infants learn the world through senses.",sensorimotor,
When a reward is given for doing a behavior for a set amount of time (e.g. paid by the hour),fixed interval schedule,
Erik Eriksen's most important stage of psychosocial development,identity v role confusion,
The belief that outside forces decide our fate and what happens in our lives is out of our control.,external locus of control,
The process of observing and copying a behavior,Modeling,
The stage of Piaget’s theory where children learn how to use language but do not understand logic yet.,Preoperational stage,
The theory that altruism was programmed into us over millions of years to promote and reward cooperation,Reciprocal altruism,
"An individual’s ""natural"" weight.  Largely determined by genetics",set point,
A technique for gaining people’s self-reported attitudes by questioning a random sample of people.,survey,
"The ""internal"" sense of touch; knowing your movements and position",kinesthesis,
learned response to a previous neutral stimulus that is now the conditioned stimulus,conditioned stimulus,
This is the part of the eye where there are no receptor cells.,blind spot,
The measured outcome of an experiment,Dependent Variable,
"After repeated exposure to the conditioned stimuli alone, the reponse diminishes.",extinction,
Roles and characteristics that are defined by a culture as male or female.,gender,
This is the perception of a relationship where none exists.,Illusory correlation,
These are used to perceive depth when only using one eye.,Monocular cues,
These are a type of drug that dramatically reduce pain and increase euphoria,opiates,
The observation that information at the beginning and end of lessons is retained better than information in the middle.,primacy-recency effect,
Who you are attracted to and how powerful your sex drive is,sexuality,
This arouses the body in stressful situations (think fight or flight response).,Sympathetic Nervous System,
A device that tests depth perception in infants and young animals.,Visual cliff,
Severing the corpus callosum creates,split brain,
A disorder characterized by persistent feelings of unease and nervousness,Generalized Anxiety Disorder,
Changing behavior to match what others in a situation are doing without any explicit reinforcement,Conformity,
An experiment where both the evaluator and the participants are unaware of wht group they're in,Double Blind Procedure,
A statistical technique to discover the degree to which variables (e.g. personality) clusters together,Factor analysis,
"The body's ""fuel"".  Cells break this down to make ATP",Glucose,
An external reward offered for completing an action,Incentive,
A naturally occurring element used to treat bipolar patients,Lithium,
"The part of the brain that controls simple, voluntary movements",Motor cortex,
A defense mechanism where negative thoughts and/or behaviors are attributed to others rather than yourself,Projection,
A network of neurons in the hindbrain that filters incoming signals and controls arousal,Reticular formation,
Baddley's working memory model includes this temporary mechanism to store images,visuospatial sketchpad,
